"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"627","08/16/2019",184.48,"N/A",184.09,188.03,179.35,8.68000000000001,0.0165018516257682
"628","08/15/2019",187.14,"N/A",187.76,188.03,186.48,1.55000000000001,0.00199405851951333
"629","08/14/2019",187.24,"N/A",206.88,189.3,186.62,2.68000000000001,0.00429333007772762
"630","08/13/2019",207.64,"N/A",209.28,209.43,206.46,2.97,0.00488340861921623
"631","08/11/2019",214.65,"N/A",206.43,215.04,205.64,9.40000000000001,0.017966874211533
"632","08/10/2019",210.6,"N/A",211.84,211.34,205.64,5.70000000000002,0.0104382859235747
"633","08/06/2019",229.83,"N/A",230.94,237.47,226.8,10.67,0.0205510112725349
"634","08/05/2019",227.11,"N/A",225.67,232.49,226.8,5.69,0.0104179383876613
"635","08/04/2019",225.02,"N/A",221.14,226.77,220.75,6.02000000000001,0.0110894070728035
"636","08/03/2019",221.06,"N/A",218.76,222.21,220.85,1.36000000000001,0.00160745533715871
"637","08/02/2019",222.65,"N/A",215.53,223,215.52,7.47999999999999,0.01406014731616
"638","08/01/2019",215.52,"N/A",213.06,216.81,214.91,1.90000000000001,0.00270622227648234
"639","07/31/2019",212.82,"N/A",210.83,217.55,211.41,6.14000000000001,0.0113335775037643
"640","07/30/2019",210.47,"N/A",205.52,211.46,208.17,3.29000000000002,0.0055345297684451
"641","07/29/2019",207.15,"N/A",213.23,210.46,207.09,3.37,0.00569731005575227
"642","07/28/2019",212.8,"N/A",207.06,214.45,208.4,6.04999999999998,0.0111504496805437
"643","07/27/2019",206.56,"N/A",221.43,207.05,205.81,1.24000000000001,0.00136328490619789
"644","07/26/2019",220.37,"N/A",213.33,222.7,217.55,5.14999999999998,0.00931917144833758
"645","07/25/2019",213.45,"N/A",221.29,217.67,212.07,5.59999999999999,0.0102348105644407
"646","07/24/2019",220.71,"N/A",205.31,223.3,214.79,8.51000000000002,0.0161559435152404
"647","07/23/2019",203.95,"N/A",215.29,211.86,202.3,9.56,0.0182924347861474
"648","07/22/2019",215.48,"N/A",224.23,217.23,214.68,2.54999999999998,0.00402881211085336
"649","07/21/2019",224.61,"N/A",227.77,227.47,223.53,3.94,0.00685711960281611
"650","07/20/2019",224.97,"N/A",223.99,228.76,224.97,3.78999999999999,0.00655190656411509
